    59	   239	   423	   510	   497	   403	   242	    71	
   212	   700	  1189	  1430	  1511	  1114	   685	   212	
   376	  1151	  1901	  2429	  2425	  1847	  1153	   334	
   408	  1429	  2231	  2969	  2911	  2284	  1362	   449	
   438	  1325	  2319	  2986	  2911	  2340	  1431	   475	
   363	  1032	  1932	  2445	  2400	  1890	  1131	   342	
   219	   675	  1123	  1369	  1470	  1123	   656	   229	
    77	   223	   418	   462	   497	   408	   202	    64	
    57	   230	   403	   515	   509	   394	   222	    66	
   215	   652	  1139	  1458	  1526	  1040	   645	   214	
   376	  1106	  1832	  2491	  2466	  1840	  1119	   339	
   420	  1417	  2238	  3095	  3016	  2283	  1379	   477	
   436	  1362	  2351	  3188	  3107	  2365	  1421	   464	
   358	  1019	  1843	  2528	  2452	  1825	  1103	   337	
   210	   642	  1061	  1396	  1494	  1099	   617	   224	
    74	   216	   402	   492	   512	   392	   200	    59	
    55	   224	   401	   541	   527	   395	   225	    68	
   200	   610	  1133	  1476	  1531	  1010	   629	   200	
   358	  1101	  1800	  2514	  2475	  1791	  1083	   332	
   434	  1419	  2273	  3230	  3180	  2315	  1425	   476	
   467	  1359	  2414	  3324	  3252	  2392	  1423	   461	
   351	   987	  1760	  2460	  2422	  1775	  1070	   335	
   217	   622	  1058	  1419	  1467	  1080	   599	   214	
    77	   213	   383	   506	   524	   389	   201	    59	
    58	   227	   410	   555	   546	   402	   228	    69	
   201	   582	  1128	  1476	  1533	   993	   616	   195	
   352	  1091	  1709	  2447	  2460	  1754	  1054	   341	
   410	  1428	  2305	  3297	  3250	  2337	  1421	   478	
   464	  1384	  2426	  3342	  3294	  2414	  1417	   464	
   343	  1001	  1693	  2442	  2477	  1756	  1037	   338	
   202	   617	  1043	  1451	  1476	  1062	   570	   204	
    77	   223	   409	   547	   546	   386	   209	    60	
    61	   219	   414	   555	   546	   412	   232	    73	
   199	   589	  1126	  1462	  1547	  1007	   600	   193	
   352	  1060	  1691	  2493	  2499	  1729	  1040	   340	
   449	  1458	  2344	  3396	  3292	  2366	  1388	   477	
   478	  1390	  2371	  3311	  3335	  2450	  1400	   460	
   346	   971	  1708	  2423	  2467	  1773	  1037	   331	
   202	   592	  1020	  1444	  1510	  1051	   587	   208	
    81	   214	   404	   525	   538	   387	   206	    64	
    57	   199	   406	   539	   519	   405	   232	    72	
   210	   625	  1143	  1448	  1553	  1025	   604	   185	
   350	  1046	  1706	  2455	  2472	  1771	  1043	   345	
   451	  1447	  2336	  3334	  3250	  2371	  1401	   489	
   471	  1415	  2385	  3279	  3258	  2399	  1415	   475	
   351	   983	  1742	  2425	  2392	  1785	  1063	   343	
   216	   607	  1036	  1467	  1564	  1068	   602	   212	
    70	   203	   390	   503	   522	   389	   204	    61	
    60	   203	   417	   535	   504	   413	   237	    76	
   216	   632	  1165	  1451	  1553	  1058	   643	   188	
   359	  1062	  1782	  2433	  2465	  1838	  1065	   361	
   435	  1414	  2365	  3153	  3116	  2344	  1413	   463	
   458	  1365	  2363	  3169	  3116	  2304	  1418	   467	
   352	  1036	  1795	  2439	  2410	  1843	  1079	   359	
   218	   619	  1066	  1484	  1538	  1074	   619	   219	
    73	   204	   390	   509	   493	   381	   208	    60	
    55	   208	   411	   511	   499	   421	   247	    81	
   221	   663	  1232	  1452	  1556	  1112	   674	   191	
   364	  1088	  1866	  2388	  2455	  1884	  1085	   367	
   449	  1374	  2344	  3077	  3023	  2347	  1393	   457	
   455	  1333	  2321	  3042	  2927	  2302	  1408	   446	
   363	  1105	  1832	  2400	  2408	  1899	  1104	   357	
   223	   625	  1087	  1487	  1529	  1092	   661	   221	
    69	   210	   396	   487	   471	   385	   205	    59	
